description,name,Nro de Inscripción,CUIT,Domicilio,Localidad,Provincia,Código Postal,Referente y Cargo,Teléf. de Contacto,E-Mail de contacto,WEB,Perfil de Facebook,Twitter,Programas,capa,Oeste,Sur,geometry
Nro de Inscripción: 33<br>CUIT: 33-52531486-9<br>Domicilio: Adolfo Alsina 1609 2 -<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: C1088AAO<br>Referente y Cargo: Ignacio Venutolo Coordinador de ADIMRA Incuba<br>Teléf. de Contacto: 1143710055<br>E-Mail de contacto: ivenutolo@adimra.org.ar<br>WEB: www.adimra.org.ar<br>Perfil de Facebook: -<br>Twitter: @nachovenu @uvtadimra<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.389083<br>Sur: -34.611328,Asociacion de Industriales Metalúrgicos de la República Argentina (ADIMRA),33,33-52531486-9,Adolfo Alsina 1609 2 -,CABA,CABA,C1088AAO,Ignacio Venutolo Coordinador de ADIMRA Incuba,1143710055,ivenutolo@adimra.org.ar,www.adimra.org.ar,-,@nachovenu @uvtadimra,INCUBADORA PAC y Fondo Semilla,incubadora,-58.389083,-34.611328,"<Point><coordinates>-58.389083,-34.611328,0.0</coordinates></Point>"
Nro de Inscripción: 54<br>CUIT: 30-99907088-0<br>Domicilio: 9 de Julio 500 4<br>Localidad: Capital<br>Provincia: Mendoza<br>Código Postal: 5500<br>Referente y Cargo: Leandro Emanuel Italiano Coordinador de Empleo y Economía Social<br>Teléf. de Contacto: 0261-4232567 0261-156813645<br>E-Mail de contacto: emanuel.italiano@gmail.com<br>WEB: www.ciudaddemendoza.gov.ar<br>Perfil de Facebook: ciudad de mendoza<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -68.843258<br>Sur: -32.897944,Incubadora de Empresas Municipalidad de la Ciudad de Mendoza,54,30-99907088-0,9 de Julio 500 4,Capital,Mendoza,5500,Leandro Emanuel Italiano Coordinador de Empleo y Economía Social,0261-4232567 0261-156813645,emanuel.italiano@gmail.com,www.ciudaddemendoza.gov.ar,ciudad de mendoza,,INCUBADORA PAC y Fondo Semilla,incubadora,-68.843258,-32.897944,"<Point><coordinates>-68.843258,-32.897944,0.0</coordinates></Point>"
Nro de Inscripción: 4<br>CUIT: 30-70808999-7<br>Domicilio: Jacinto Diaz 289<br>Localidad: San Isidro<br>Provincia: Buenos Aires<br>Código Postal: 1642<br>Referente y Cargo: Alejandra Mendez Coordinadora General<br>Teléf. de Contacto: 1147321600<br>E-Mail de contacto: alejandra@inicia.org.ar<br>WEB: www.inicia.org.ar<br>Perfil de Facebook: www.facebook.com/iniciaemprender<br>Twitter: www.twiter.com/iniciaemprender<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.521881<br>Sur: -34.469616,"INICIA, Emprender para el Futuro Asociación Civil",4,30-70808999-7,Jacinto Diaz 289,San Isidro,Buenos Aires,1642,Alejandra Mendez Coordinadora General,1147321600,alejandra@inicia.org.ar,www.inicia.org.ar,www.facebook.com/iniciaemprender,www.twiter.com/iniciaemprender,INCUBADORA PAC y Fondo Semilla,incubadora,-58.521881,-34.469616,"<Point><coordinates>-58.521881,-34.469616,0.0</coordinates></Point>"
"Nro de Inscripción: 23<br>CUIT: 30-70700851-9<br>Domicilio: San Martin 601 3 -<br>Localidad: Ciudad de Mendoza<br>Provincia: Mendoza<br>Código Postal: 5500<br>Referente y Cargo: Andrea Antonietti Jefa de Area de Economia, Proyectos y Financiamiento<br>Teléf. de Contacto: 2614056000<br>E-Mail de contacto: antonietti@idr.org.ar<br>WEB: www.idr.org.ar<br>Perfil de Facebook: Jovenes Emprendedores Rurales de Mendoza<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -68.840511<br>Sur: -32.895657",FUNDACION INSTITUTO DE DESARROLLO RURAL,23,30-70700851-9,San Martin 601 3 -,Ciudad de Mendoza,Mendoza,5500,"Andrea Antonietti Jefa de Area de Economia, Proyectos y Financiamiento",2614056000,antonietti@idr.org.ar,www.idr.org.ar,Jovenes Emprendedores Rurales de Mendoza,,INCUBADORA PAC y Fondo Semilla,incubadora,-68.840511,-32.895657,"<Point><coordinates>-68.840511,-32.895657,0.0</coordinates></Point>"
Nro de Inscripción: 69<br>CUIT: 30-67385012-6<br>Domicilio: Bv. Celman 726 - -<br>Localidad: Tortugas<br>Provincia: Santa Fe<br>Código Postal: 2505<br>Referente y Cargo: Humberto Viozzi Presidente Comunal<br>Teléf. de Contacto: Fijo: ( 03471- 494186 ) celular: 03471- 156 11500<br>E-Mail de contacto: industria@tortugas.gob.ar<br>WEB: http://www.tortugas.gob.ar/<br>Perfil de Facebook: -<br>Twitter: -<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.816370<br>Sur: -32.752155,Comuna de Tortugas - DESARROLLO PRODUCTIVO,69,30-67385012-6,Bv. Celman 726 - -,Tortugas,Santa Fe,2505,Humberto Viozzi Presidente Comunal,Fijo: ( 03471- 494186 ) celular: 03471- 156 11500,industria@tortugas.gob.ar,http://www.tortugas.gob.ar/,-,-,INCUBADORA PAC y Fondo Semilla,incubadora,-61.81637,-32.752155,"<Point><coordinates>-61.81637,-32.752155,0.0</coordinates></Point>"
Nro de Inscripción: 47<br>CUIT: 30-71504310-2<br>Domicilio: urquiza 438 5 C<br>Localidad: Salta<br>Provincia: Salta<br>Código Postal: 4400<br>Referente y Cargo: gonzalo sebastian rodriguez zubieta Presidente<br>Teléf. de Contacto: 6.04E+12<br>E-Mail de contacto: magissalta@hotmail.com<br>WEB: www.acmagis.org<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.408941<br>Sur: -24.792541,Cooperativa Magis Limitada,47,30-71504310-2,urquiza 438 5 C,Salta,Salta,4400,gonzalo sebastian rodriguez zubieta Presidente,6040000000000,magissalta@hotmail.com,www.acmagis.org,,,INCUBADORA PAC y Fondo Semilla,incubadora,-65.408941,-24.792541,"<Point><coordinates>-65.408941,-24.792541,0.0</coordinates></Point>"
Nro de Inscripción: 56<br>CUIT: 30-70797751-1<br>Domicilio: Av. Córdoba 1690 1<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1055<br>Referente y Cargo: Juan Artuso Coordinador de Centro de Emprendedores<br>Teléf. de Contacto: (11) 5032 3900<br>E-Mail de contacto: juan.artuso@iuean.edu.ar<br>WEB: http://www.iuean.edu.ar/<br>Perfil de Facebook: https://www.facebook.com/InstitutoUniversitarioEscuelaArgentinadeNegocios/?fref=ts<br>Twitter: @iuean<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.391214<br>Sur: -34.599549,FUNDACIÓN PRO INSTITUTO UNIVERSITARIO ESCUELA ARGENTINA DE NEGOCIOS,56,30-70797751-1,Av. Córdoba 1690 1,CABA,CABA,1055,Juan Artuso Coordinador de Centro de Emprendedores,(11) 5032 3900,juan.artuso@iuean.edu.ar,http://www.iuean.edu.ar/,https://www.facebook.com/InstitutoUniversitarioEscuelaArgentinadeNegocios/?fref=ts,@iuean,INCUBADORA PAC y Fondo Semilla,incubadora,-58.391214,-34.599549,"<Point><coordinates>-58.391214,-34.599549,0.0</coordinates></Point>"
Nro de Inscripción: 18<br>CUIT: 30-71246783-1<br>Domicilio: DEAN FUNES 680<br>Localidad: RIO CUARTO<br>Provincia: Córdoba<br>Código Postal: 5800<br>Referente y Cargo: MAURICIO ACOSTA PRESIDENTE<br>Teléf. de Contacto: 3585166614<br>E-Mail de contacto: macosta@clusterriocuarto.com<br>WEB: www.clusterriocuarto.com<br>Perfil de Facebook: https://web.facebook.com/clusterriocuarto/<br>Twitter: https://twitter.com/clusterrio4<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -64.350779<br>Sur: -33.121803,ASOCIACION CIVIL CLUSTER TECNOLOGICO RIO CUARTO,18,30-71246783-1,DEAN FUNES 680,RIO CUARTO,Córdoba,5800,MAURICIO ACOSTA PRESIDENTE,3585166614,macosta@clusterriocuarto.com,www.clusterriocuarto.com,https://web.facebook.com/clusterriocuarto/,https://twitter.com/clusterrio4,INCUBADORA PAC y Fondo Semilla,incubadora,-64.350779,-33.121803,"<Point><coordinates>-64.350779,-33.121803,0.0</coordinates></Point>"
"Nro de Inscripción: 43<br>CUIT: 30-71016449-1<br>Domicilio: Bolivar 218 3º Oficina 11<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1066<br>Referente y Cargo: Morado, María Claudia Responsable de la Incubadora - Tesorera de la Institucion<br>Teléf. de Contacto: 114342-6597<br>E-Mail de contacto: claudiamorado@hotmail.com<br>WEB: www.amapepyp.org.ar<br>Perfil de Facebook: www.facebook.com/amapepyp/?fref=ts<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.373511<br>Sur: -34.610639",ASOCIACIÓN MUTUAL DE AYUDA AL PERSONAL DE EMPLEADOS PÚBLICOS Y PRIVADOS,43,30-71016449-1,Bolivar 218 3º Oficina 11,CABA,CABA,1066,"Morado, María Claudia Responsable de la Incubadora - Tesorera de la Institucion",114342-6597,claudiamorado@hotmail.com,www.amapepyp.org.ar,www.facebook.com/amapepyp/?fref=ts,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.373511,-34.610639,"<Point><coordinates>-58.373511,-34.610639,0.0</coordinates></Point>"
Nro de Inscripción: 84<br>CUIT: 30-70779633-9<br>Domicilio: 24 de September 0476<br>Localidad: San Miguel De Tucuman<br>Provincia: Tucumán<br>Código Postal: 4000<br>Referente y Cargo: Herminia Ledesma Coordinadora de Pasantias<br>Teléf. de Contacto: (0381) 4530 630 Interno: 128<br>E-Mail de contacto: mledesma@uspt.edu.ar<br>WEB: http://uspt.edu.ar/<br>Perfil de Facebook: www.facebook.com/universidad.sanpablotucuman/<br>Twitter: @usptuc<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.204299<br>Sur: -26.831193,Fundación para el Desarollo,84,30-70779633-9,24 de September 0476,San Miguel De Tucuman,Tucumán,4000,Herminia Ledesma Coordinadora de Pasantias,(0381) 4530 630 Interno: 128,mledesma@uspt.edu.ar,http://uspt.edu.ar/,www.facebook.com/universidad.sanpablotucuman/,@usptuc,INCUBADORA PAC y Fondo Semilla,incubadora,-65.204299,-26.831193,"<Point><coordinates>-65.204299,-26.831193,0.0</coordinates></Point>"
Nro de Inscripción: 30<br>CUIT: 30-71388510-6<br>Domicilio: Calle 6 399 2 B<br>Localidad: La Plata<br>Provincia: Buenos Aires<br>Código Postal: 1900<br>Referente y Cargo: Gastón Santoiani Presidente<br>Teléf. de Contacto: 02214221362 0221155235163<br>E-Mail de contacto: gsantoiani@ideaar.com.ar<br>WEB: www.ideaar.com.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC<br>Oeste: -57.958734<br>Sur: -34.906366,Cooperativa de Trabajo Investigación y Desarrollo Aeronáutico Argentino - IDeAAr Ltda.,30,30-71388510-6,Calle 6 399 2 B,La Plata,Buenos Aires,1900,Gastón Santoiani Presidente,02214221362 0221155235163,gsantoiani@ideaar.com.ar,www.ideaar.com.ar,,,INCUBADORA PAC,incubadora,-57.958734,-34.906366,"<Point><coordinates>-57.958734,-34.906366,0.0</coordinates></Point>"
Nro de Inscripción: 38<br>CUIT: 30-69371093-2<br>Domicilio: Dorrego 1347 3 A<br>Localidad: Rosario<br>Provincia: Santa Fe<br>Código Postal: 2000<br>Referente y Cargo: Eduardo Coso Presidente<br>Teléf. de Contacto: 0341-4488788<br>E-Mail de contacto: crap@crap.org.ar<br>WEB: www.crap.org.ar<br>Perfil de Facebook: https://www.facebook.com/CRAP-Centro-Regional-de-Asistencia-a-la-Producci%C3%B3n-302991943154174/<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -60.651003<br>Sur: -32.951334,CENTRO REGIONAL DE ASISTENCIA A LA PRODUCCION -CRAP-,38,30-69371093-2,Dorrego 1347 3 A,Rosario,Santa Fe,2000,Eduardo Coso Presidente,0341-4488788,crap@crap.org.ar,www.crap.org.ar,https://www.facebook.com/CRAP-Centro-Regional-de-Asistencia-a-la-Producci%C3%B3n-302991943154174/,,INCUBADORA PAC y Fondo Semilla,incubadora,-60.651003,-32.951334,"<Point><coordinates>-60.651003,-32.951334,0.0</coordinates></Point>"
Nro de Inscripción: 2<br>CUIT: 30-71251579-8<br>Domicilio: 9 de julio 280 1° Dirección de Vinculación Nacional<br>Localidad: Rawson<br>Provincia: Chubut<br>Código Postal: 9100<br>Referente y Cargo: Eduardo Fabian Arzani Subsecretario de Regulación y Control<br>Teléf. de Contacto: 2804482607<br>E-Mail de contacto: herramientasfinancieraschubut@gmail.com<br>WEB: www.chubut.gov.ar/produccion<br>Perfil de Facebook: MinisteriodelaProduccion<br>Twitter: @produccioncht<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.105382<br>Sur: -43.295859,Dirección de Vinculación Nacional,2,30-71251579-8,9 de julio 280 1° Dirección de Vinculación Nacional,Rawson,Chubut,9100,Eduardo Fabian Arzani Subsecretario de Regulación y Control,2804482607,herramientasfinancieraschubut@gmail.com,www.chubut.gov.ar/produccion,MinisteriodelaProduccion,@produccioncht,INCUBADORA PAC y Fondo Semilla,incubadora,-65.105382,-43.295859,"<Point><coordinates>-65.105382,-43.295859,0.0</coordinates></Point>"
Nro de Inscripción: 64<br>CUIT: 30-71038910-8<br>Domicilio: Arturo Frondizi 174 4º PISO<br>Localidad: Resistencia<br>Provincia: Chaco<br>Código Postal: 3500<br>Referente y Cargo: Graciela Lopez Coordinación Técnica Incibadora<br>Teléf. de Contacto: 3794672134<br>E-Mail de contacto: gracielalopez86@gmail.com<br>WEB: <br>Perfil de Facebook: NO<br>Twitter: NO<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.986896<br>Sur: -27.449194,"Empresa Joven Chaco - Ministerio de industria, Comercio y Servicios",64,30-71038910-8,Arturo Frondizi 174 4º PISO,Resistencia,Chaco,3500,Graciela Lopez Coordinación Técnica Incibadora,3794672134,gracielalopez86@gmail.com,,NO,NO,INCUBADORA PAC y Fondo Semilla,incubadora,-58.986896,-27.449194,"<Point><coordinates>-58.986896,-27.449194,0.0</coordinates></Point>"
"Nro de Inscripción: 39<br>CUIT: 30-54666656-1<br>Domicilio: Av. Córdoba 2122 PB<br>Localidad: Balvanera<br>Provincia: CABA<br>Código Postal: 1120<br>Referente y Cargo: Marcelo Esteban Andreotti Coordinador General Centro Emprendedor GenXXI<br>Teléf. de Contacto: 5285-6505<br>E-Mail de contacto: amarcelo@econ.uba.ar, emprende@econ.uba.ar<br>WEB: http://gen21.econ.uba.ar<br>Perfil de Facebook: Centro Emprendedor Gen XXI - UBA<br>Twitter: @centrogenXXl<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.397597<br>Sur: -34.599711",CENTRO DE EMPRENDEDORES GENXXI - FACULTAD DE CIENCIAS ECONÓMICAS UNIVERSIDAD DE BUENOS AIRES,39,30-54666656-1,Av. Córdoba 2122 PB,Balvanera,CABA,1120,Marcelo Esteban Andreotti Coordinador General Centro Emprendedor GenXXI,5285-6505,"amarcelo@econ.uba.ar, emprende@econ.uba.ar",http://gen21.econ.uba.ar,Centro Emprendedor Gen XXI - UBA,@centrogenXXl,INCUBADORA PAC y Fondo Semilla,incubadora,-58.397597,-34.599711,"<Point><coordinates>-58.397597,-34.599711,0.0</coordinates></Point>"
Nro de Inscripción: 17<br>CUIT: 30-68383190-1<br>Domicilio: Av. Hipolito Yrigoyen 355 P.B. -<br>Localidad: Avellaneda<br>Provincia: Buenos Aires<br>Código Postal: 1870<br>Referente y Cargo: Claudio Humberto Cerdá Jefe Operativo<br>Teléf. de Contacto: 11-4222-5001<br>E-Mail de contacto: ccerda@ideb.org.ar<br>WEB: www.ideb.org.ar<br>Perfil de Facebook: https://www.facebook.com/centroideb/?fref=ts<br>Twitter: @centroideb<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.375349<br>Sur: -34.661586,CENTRO IDEB AVELLANEDA,17,30-68383190-1,Av. Hipolito Yrigoyen 355 P.B. -,Avellaneda,Buenos Aires,1870,Claudio Humberto Cerdá Jefe Operativo,11-4222-5001,ccerda@ideb.org.ar,www.ideb.org.ar,https://www.facebook.com/centroideb/?fref=ts,@centroideb,INCUBADORA PAC y Fondo Semilla,incubadora,-58.375349,-34.661586,"<Point><coordinates>-58.375349,-34.661586,0.0</coordinates></Point>"
