Categoría,description,Articulador,Provincia,Localidad,Email,Sitio Web,Dirección,Teléfono,latitude,longitude
Consejo Federal de Discapacidad,DIS – Corrientes – Corrientes,APADEA Corrientes - Representante No Gubernamental Provincial,Corrientes,Corrientes,rezdia@yahoo.com.ar / apadeacorrientes@yahoo.com.ar,,Junín 704 - CP 3400 - Corrientes (Corrientes),(03794) 4438985,-27.467292,-58.841546
Consejo Federal de Discapacidad,DIS – Catamarca – San Fernando del Valle de Catamarca,Asociación de Padres de personas con Autismo Catamarca (APAC),Catamarca,San Fernando del Valle de Catamarca ,mechibalut@hotmail.com,,Junín 1152 - CP 4700 - San Fernando del Valle de Catamarca (Catamarca),,-28.475625,-65.78242
Consejo Federal de Discapacidad,DIS – Formosa – Clorinda,Asociación de Ayuda al Niño Especial Intégrame - Representante No Gubernamental Región NEA,Formosa,Clorinda,asociacionintegrame@hotmail.com,,Almirante Brown 63 - CP 3610 - Clorinda (Formosa),(03718) 426484,-25.285653,-57.730093
Consejo Federal de Discapacidad,DIS – Mendoza – Maipú,Fundación Geiser,Mendoza,Maipú,info@fundaciongeiser.org,,Emilio Civit 2449 - CP 5515 - Maipú (Mendoza),(0261) 4291987,-32.973326,-68.811414
Consejo Federal de Discapacidad,DIS – Chaco – Resistencia,Organización Comunitaria de Apoyo al Discapacitado y Casos Especiales (OCADYCE),Chaco,Resistencia,martinrousselot@yahoo.com,,José Hernández 3498 - CP 3500 - Resistencia (Chaco),(0362) 4420211,-27.440741,-58.962774
Consejo Federal de Discapacidad,DIS – Santa Fe – Rosario,Subsecretaría de Inclusión para Personas con Discapacidad - Área Gubernamental,Santa Fe,Rosario,discapacidad@santafe.gov.ar,,9 de Julio 325 - CP 2000 - Rosario (Santa Fe),(0341) 4721164,-32.955923,-60.629248
Instituciones de Microcrédito,IM – Misiones – Posadas,Cooperativa Agropecuaria y Forestal de Paraiso LTDA,Misiones,Posadas,ucapacsanpedro@yahoo.com.ar,,Colonia Paraíso KM 1032 - Posadas (Misiones),(03751) 470820,-26.6886,-54.2033
Instituciones de Microcrédito,IM – Córdoba – Río Ceballos,Nuevo Río Ceballos,Córdoba,Río Ceballos,asocivilnuevorioceballos@hotmail.com,,Calle Río Camping s/n - Barrio Parque Guerrero - CP X5111 - Río Ceballos (Córdoba),(03543) 15614732,-31.191179,-64.314678
Instituciones de Microcrédito,IM – Córdoba – Las Peñas,El Mistol,Córdoba,Las Peñas,ucancordoba@yahoo.com.ar,,Moisés Salde 1184 - CP 5238 - Las Peñas (Córdoba),,-30.564012,-64.000308
Instituciones de Microcrédito,IM – Río Negro – Dina Huapi,Surcos Patagónicos,Río Negro,Dina Huapi,mai_murguera@hotmail.com,,Colombia 921 - CP 8402 - Dina Huapi (Río Negro),(02966) 15465503,-41.076711,-71.16866
Instituciones de Microcrédito,IM – Río Negro – Villa Regina,Fundación Arena,Río Negro,Villa Regina,otabe7@hotmail.com,,Brasil 60 - CP 8336 - Villa Regina (Río Negro),(0298) 154652042,-39.094907,-67.088747
Instituciones de Microcrédito,IM – Neuquén – Neuquén,Asociación Civil Iniciativa Neuquina,Neuquén,Neuquén,fla_33@hotmail.com,,San Martín 917 - CP 8300 - Neuquén (Neuquén),(0299) 154568940,-38.95496,-68.07204
Instituciones de Microcrédito,IM – Neuquén – Neuquén,Asociación Civil Mano a Mano,Neuquén,Neuquén,ailig03@hotmail.com,,Soldado Desconocido 546 - CP 8300 - Neuquén (Neuquén),(0299) 154762148,-38.961028,-68.074761
Instituciones de Microcrédito,IM – Neuquén – Las Coloradas,Mesa de Gestión del Norte Neuquino - Asociación Civil El Radal,Neuquén,Las Coloradas,,,San MartÍn 500 - CP 3100 - Las Coloradas (Neuquén),(02948) 15410220,-39.55,-70.583333
Instituciones de Microcrédito,IM – Neuquén  – Neuquén,CGL Neuquén,Neuquén,Neuquén,mvf_nqn@yahoo.com.ar,,Hipolito Yrigoyen Nº 650 - CP 8300 - Neuquén (Neuquén),(0299) 155402062,-38.947994,-68.060644
Instituciones de Microcrédito,IM – Neuquén – Paso Aguerre,Asociación Fomento Rural Paso Aguerre,Neuquén,Paso Aguerre,nelsoneduardo04@yahoo.com.ar,,Zona Chacra 36 - CP 8340 - Paso Aguerre (Neuquén),(02942) 15529175,-39.339257,-69.844373
Instituciones de Microcrédito,IM – Santa Fe – Rosario,FACAAL,Santa Fe,Rosario,damianeferreyra@gmail.com,,Urquiza 1970 - CP2000 - Rosario (Santa Fe),(0341) 153531658,-32.940734,-60.649267
Instituciones de Microcrédito,IM – Santa Fe – Recreo,CGL Sauce Viejo,Santa Fe,Recreo,microcreditosantafe@gmail.com / marianafantin@yahoo.com.ar,,Av. Mitre 1211 - CP 3018 - Recreo (Santa Fe),(0342) 154857623,-31.491694,-60.735277
Instituciones de Microcrédito,IM – Santa Fe – Santa Fe,Fundación Angel,Santa Fe,Santa Fe,eduasani@yahoo.com.ar,,Dr. Avellaneda 7321 - CP3000 - Santa Fe (Santa Fe),(0342) 154623277,-31.608111,-60.678967
Instituciones de Microcrédito,IM – San Luis – La Toma,Club Social y Deportivo Amazonas,San Luis,La Toma,amazonasclub@yahoo.com.ar,,Hipólito Yrigoyen Nº 764 - CP 5750 - La Toma (San Luis),(0266) 154504738,-33.052282,-65.62457
Instituciones de Microcrédito,IM – Santa Fe – Rosario,Asociación Civil Giros,Santa Fe,Rosario,girosrosario@gmail.com,,Ov. Lagos 790 - CP2000 - Rosario (Santa Fe),(0341) 153078268,-32.941858,-60.661471
Instituciones de Microcrédito,IM – Santa Fe – Rosario,FECOFE,Santa Fe,Rosario,administracion@fecofe.com,,Córdoba 2424 - CP2000 - Rosario (Santa Fe),(0341) 156245461,-32.943082,-60.656342
Instituciones de Microcrédito,IM – Santa Fe – Villa Constitución,Cooperar 7 de mayo,Santa Fe,Villa Constitución,cristianalbertohorton@gmail.com / lauravfarcy@hotmail.com,,Ruta 21 5608 - CP 2919 - Villa Constitución (Santa Fe),(0341) 154684567,-33.259096,-60.30091
Instituciones de Microcrédito,IM – Santa Fe  – Rosario,Instituto Movilizador de Fondos Coop.,Santa Fe,Rosario,parpe@imfc.coop / ivanperez@imfc.coop / filiallitoral@imfc.coop ,,San Martín 1371 - CP 2000 - Rosario (Santa Fe),(011) 5077-8080,-32.953532,-60.638347
Instituciones de Microcrédito,IM – Santa Fe – Rosario,Asociación Evita Sol Naciente,Santa Fe,Rosario,isabelberizzo@gmail.com,,24 de Septiembre 1045 - CP 2000 - Rosario (Santa Fe),(0341) 156179787,-32.980516,-60.645055
Instituciones de Microcrédito,IM – Misiones – Colonia Polana,Escuela de familia Agrícola San Vicente,Misiones,Colonia Polana,,,Ruta Nacional 14 N940 - CP 1259 - Colonia Polana (Misiones),,-26.981944,-55.318056
Instituciones de Microcrédito,IM – Misiones – 9 de Julio,Consorcio de la Gestión Local de la Provincia de Misiones Zona Norte,Misiones,9 de Julio,consorciomicrocreditosmisiones@gmail.com,,Centro Cívico - Edificio 2 - Piso 3 - CP 3300 - 9 de Julio (Misiones),(0376) 1543733303,-26.429988,-54.467018
Instituciones de Microcrédito,IM – Santa Fe – San Javier,Asociación Civil Sol de Mayo,Santa Fe,San Javier,marianafantin@yahoo.com.ar / soldemayosantafe@yahoo.com.ar,,Juan Díaz de Solis 3078 - CP 3000 - San Javier (Santa Fe),(0342) 154857623,-30.579558,-59.930308
Instituciones de Microcrédito,IM – Santa Fe – La Gallareta,CGL La Gallareta,Santa Fe,La Gallareta,secretaria@lagallareta.com / oscarsena421@hotmail.com,,Rivadavia y Belgrano - CP 3057 - La Gallareta (Santa Fe),(03483) 15417490,-29.583294,-60.378334
Instituciones de Microcrédito,IM – Entre Ríos – Paraná,Consorcio de Chajarí,Entre Ríos,Paraná,wagneryamina@gmail.com,,Córdoba y Laprida - CP 4000 - Paraná (Entre Ríos),(0343) 154281251,-31.727451,-60.532619
Instituciones de Microcrédito,IM – Entre Ríos – Victoria,Fundación Juan Carlos Stratta,Entre Ríos,Victoria,florbeck@yahoo.com.ar,,Italia 487 - CP 3382 - Victoria (Entre Ríos),(0343) 155126842,-32.621933,-60.156005
Instituciones de Microcrédito,IM – Entre Ríos – Paraná,Fundación Juan Carlos Esparza,Entre Ríos,Paraná,benaturganga@hotmail.com,,Fray Mocho 756 -  CP 3100 - Paraná (Entre Ríos),(0343) 154629225,-31.754681,-60.499982
Instituciones de Microcrédito,IM – Entre Ríos – Gualeguaychú,Fundación Vincular,Entre Ríos,Gualeguaychú,fernandobaffico@yahoo.com.ar,,General Paz 173 - CP 2820 - Gualeguaychú (Entre Ríos),(0343) 154657052,-33.011826,-58.529212
Punto Centralizado,Dirección Nacional de Formación de Actores Territoriales,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,info@promotoresterritoriales.org.ar,,Av. 9 de Julio 1925 - Piso 17 - C1073ACA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4345-9901,-34.612129,-58.381562
Punto Centralizado,Dirección Nacional de Educación Social y Popular,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,dinescop@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 17 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3879 ,-34.611872,-58.38113
Instituciones de Microcrédito,IM – Buenos Aires – Cañuelas,Cooperativa Agropecuaria Asociación de Productores Familiares de Cañuelas Ltda,Buenos Aires,Cañuelas,coopapfcanuelas@gmail.com,,Las Heras 235 - CP 1814 - Cañuelas (Buenos Aires),(02226) 15577091,-35.047835,-58.738752
Instituciones de Microcrédito,IM – La Rioja – La Rioja,Semilla de Progreso,La Rioja,La Rioja,natachaon@gmail.com,,Lamadrid 258 - CP 5300 - La Rioja (La Rioja),(3825) 154454403,-29.410042,-66.85423
Instituciones de Microcrédito,IM – La Rioja – La Rioja,Ateneo Rural,La Rioja,La Rioja,consorciolarioja@hotmail.com,,Santiago del Estero 369 - CP 5300 - La Rioja (La Rioja),(0380) 4430353,-29.408496,-66.853002
Instituciones de Microcrédito,IM – La Rioja – La Rioja,ACNIN,La Rioja,La Rioja,natachaon@gmail.com,,Evaristo Carriego 699 - CP 5300 - La Rioja (La Rioja),(0380) 154289709,-29.40559,-66.850704
Instituciones de Microcrédito,IM – San Juan – San Juan,Fundación Alas Solidarias,San Juan,San Juan,solidariasalas@gmail.com,,Av. Rawson Norte 1564 - CP 5400 - San Juan (San Juan),(0264) 155423799,-31.517462,-68.5172
Instituciones de Microcrédito,IM – San Juan – Chimbas,Fundación Arco Iris,San Juan,Chimbas,andreaklopez@12@gmail.com,,Pasaje Padilla - CP 5413 - Chimbas (San Juan),(0264) 156611924,-31.488028,-68.522525
Instituciones de Microcrédito,IM – San Juan – Rivadavia,Fundación El Camino,San Juan,Rivadavia,hugo_carmona@inv.gov.ar,,Ricardo Balbín 2331 - CP 5400 - Rivadavia (San Juan),(0264) 15505255,-31.515346,-68.561761
Instituciones de Microcrédito,IM – Mendoza – Mendoza,Fundación Manuel Dorrego,Mendoza,Mendoza,fundacionmanueldorrego@gmail.com,,Rioja 1509 - CP 5500 - Mendoza (Mendoza),(0261) 152441997,-32.886179,-68.835442
Instituciones de Microcrédito,IM – Mendoza – El Algarrobal,Asociación Tiempo de Sembrar,Mendoza,El Algarrobal,asoc.tiempodesembrar@hotmail.com,,General Paz 3750 - CP 5000 - El Algarrobal (Mendoza),(0261) 154661606,-32.848259,-68.78986
Instituciones de Microcrédito,IM – Mendoza – Maipú,Asociación Tierra Nueva,Mendoza,Maipú,agruptierranueva@yahoo.com.ar,,Constancio Vigil y Pasaje Scifo - Casa 2 -  CP 5515 - Maipú (Mendoza),(0261) 15485101,-32.988785,-68.785427
Instituciones de Microcrédito,IM – Mendoza – Eugenio Bustos,Asociación EL ADOBE,Mendoza,Eugenio Bustos,adobeespaciopopular@gmail.com,,Belén 450 - CP 5569 - Eugenio Bustos (Mendoza),,-33.778979,-69.065328
Instituciones de Microcrédito,IM – Misiones – Bernardo de Irigoyen,Cooperativa Agropecuaria Unión de la Frontera Ltda,Misiones,Bernardo de Irigoyen,utrnordeste@gmail.com,,Barrio 4 Hermanos S/N - CP 3366 - Bernardo de Irigoyen (Misiones),(03741) 15408833,-26.25818,-53.648694
Instituciones de Microcrédito,IM – Misiones – Nemesio Parma,Asociación Civil Costumbres Provincia de Misiones,Misiones,Nemesio Parma,asociacioncostumbres@hotmail.com,,Barrio Los Apachos 8 - CP 3300 - Nemesio Parma (Misiones),(0376) 154713802,-27.3564,-56.0172
Instituciones de Microcrédito,IM – Misiones – Fracan,Cooperativa Agropecuaria Nueva Unión de Fracan Ltda,Misiones,Fracan,,,Ruta Nacional 14 - CP 3364 - Fracan (Misiones),(03751) 15413086,-26.748814,-54.309357
Instituciones de Microcrédito,IM – Misiones – Montecarlo,Asociación Promotora Turismo y Cultura,Misiones,Montecarlo,debischoff@montecarlo.inta.gov.ar,,Prolongación Martín Lutero - CP 3384 - Montecarlo (Misiones),,-26.566533,-54.766079
Instituciones de Microcrédito,IM – Misiones – Posadas,Asociación Civil Granja Unida,Misiones,Posadas,granjaunidamisiones@hotmail.com,,Trinchera Este y Costanera - CP 3000 - Posadas (Misiones),(0376) 4447253,-27.429897,-55.912176
Instituciones de Microcrédito,IM – Corrientes – Corrientes,Juan XXIII,Corrientes,Corrientes,olgaflores52@outlook.com,,Malvinas Argentinas 1135 - CP 3400 - Corrientes (Corrientes),,-27.497107,-58.83932
Instituciones de Microcrédito,IM – Corrientes – Saladas,Asociación de Productores agrupados de saladas,Corrientes,Saladas,apasaconami@hotmail.com,,Colonia Pago de los deseos (2da. Sección) - CP 3560 - Saladas (Corrientes),,-28.255037,-58.62383
Instituciones de Microcrédito,IM – Chaco – Fontana,"Cooperativa de Vivienda, Consumo y Servicios MGA Ltda",Chaco,Fontana,coopmegaltda@yahoo.com.ar,,Barrio 125 Viviendas Manzana 81 Parcela 14  - CP 3514 - Fontana (Chaco),,-27.416219,-59.034116
Instituciones de Microcrédito,IM – Chaco – Tres Isletas,Proyecto de Desarrollo Asociación Pequeños Productores Orgánicos de Tres Isletas,Chaco,Tres Isletas,apporganicos@yahoo.com.ar,,Parcela 4 Manzana 3 Quinta 56 - CP 3703 - Tres Isletas (Chaco),,-26.340343,-60.431322
Monotributo Social,MS – Santa Cruz – El Calafate,Centro de Inscripción,Santa Cruz,El Calafate,monotributosocialcalafate2016@hotmail.com,,Av. del Libertador 1568 - CP 9504  - El Calafate (Santa Cruz),(02902) 495599,-50.338636,-72.271711
Consejo Federal de Mayores,MAY – Tucumán – San Miguel de Tucumán,"Confederación Argentina de Entidades de Jubilados, Retirados y Pensionados Nacionales y Provinciales ",Tucumán,San Miguel de Tucumán,centjubjujuy@yahoo.com.ar,,Crisostomo Álvarez 776 - CP 4000 - San Miguel de Tucumán (Tucumán),(0381) 4227275 ,-26.831435,-65.209181
Consejo Federal de Mayores,MAY – Tucumán – San Miguel de Tucumán,Dirección de Adultos Mayores,Tucumán,San Miguel de Tucumán,direccionadultosmayores@gmail.com,,Lamadrid 534 - CP 4000 - San Miguel de Tucumán (Tucumán),(0381) 4207287,-26.872827,-65.21543
Consejo Federal de Mayores,MAY – Tierra del Fuego – Ushuaia,Consejo Provincial de Adultos Mayores,Tierra del Fuego,Ushuaia,mnsosa@tierradelfuego.gob.ar,,Guiraldes 576 - CP 9410 - Ushuaia (Tierra del Fuego),(02901) 435208,-54.811208,-68.326605
Consejo Federal de Mayores,MAY – Santiago del Estero – Santiago del Estero,Consejo Provincial de Adultos Mayores,Santiago del Estero,Santiago del Estero,areaadultosmayoresdesarrollo@gmail.com,,Saenz Peña 430 - CP 4200 - Santiago del Estero (Santiago del Estero),(0385) 4222120,-27.790193,-64.267187
Consejo Federal de Mayores,MAY – Santa Fe – Santa Fe,Consejo Provincial de Adultos Mayores,Santa Fe,Santa Fe,sseghesso@santafe.gov.ar / diradultosmay_mds@santafe.gov.ar,,Salta 3211 - CP 3000 - Santa Fe (Santa Fe),(0342) 4571959,-31.648736,-60.715745
Consejo Federal de Mayores,MAY – Santa  Cruz – Río Gallegos,Consejo Provincial de Adultos Mayores,Santa Cruz,Río Gallegos,alejashanahan@gmail.com / stellam_01@hotmail.com,,Salta 75 - CP 9400 - Río Gallegos (Santa Cruz),(02966) 422776,-51.625631,-69.208687
Instituciones de Microcrédito,IM – Misiones – Fracan,Cooperativa Agropecuaria Nueva Union de Fracan Ltda,Misiones,Fracan,,,Ruta Nacional 14 - Fracan (Misiones),(03751) 15 - 413086,-26.748814,-54.309357
Consejo Federal de Mayores,MAY – San Luis – San Luis,Programa de Desarrollo Humano y Protección social,San Luis,San Luis,patoab@hotmail.com / mariaeugeniacantaloube@hotmail.com,,Ayacucho 945 3° Piso - CP 5700 - San Luis (San Luis),(0266) 4451373,-33.305698,-66.335924
Instituciones de Microcrédito,IM – San Luis – Naschel,Red Desafíos,San Luis,Naschel,stedesafios@hotmail.com,,Pringles 370 - CP 5759 - Naschel (San Luis),(0266) 154638669,-32.915902,-65.37571
Instituciones de Microcrédito,IM – Mendoza – Godoy Cruz,Asociación NEHUEN,Mendoza,Godoy Cruz,danielcalbazas@yahoo.com.ar,,Las Heras 586 - CP 5001 - Godoy Cruz (Mendoza) ,(0261) 15 - 5092417,-32.931177,-68.848089
Instituciones de Microcrédito,IM – Mendoza – Junin,Asociación de apoyo al gia,Mendoza,Junin,jortiztrinca@hotmail.com,,Espejo 521 - CP 5573 - Junín (Mendoza),( 0261) 15 - 6572791,-33.091262,-68.476334
Consejo Federal de Mayores,MAY – San Juan – San Juan,"Subsecretaría de Promoción, Protección para el Desarrollo Social ",San Juan,San Juan,nelsonlezcano@hotmail.com,,España 50 - CP 5400 - San Juan (San Juan),(0264) 4306005,-31.535631,-68.536616
Instituciones de Microcrédito,IM – Mendoza – Mendoza,Asociación El arca productores y consumidores,Mendoza,Mendoza,ordonez@yahoo.com.ar,,Granaderos 1785 - CP 5500 - Mendoza (Mendoza),(0261) 15 - 45548157,-32.879801,-68.85508
Consejo Federal de Mayores,MAY – Salta – Salta,Consejo Provincial de Adultos Mayores,Salta,Salta,direcciongeneraladultosmayores@gmail.com / waltergarciasalta@gmail.com,,General Güemes 562 - CP 4400 - Salta (Salta),(0387) 4227823,-24.786364,-65.410164
